quote_id,quote_ts_utc,slug,quote_side,quote_price,quote_size,mode,touch_observed,touch_observed_ts_utc,touch_observation_count,touch_persistence_ms,fill_inferred,fill_inferred_ts_utc,fill_confidence,fill_opportunity,fill_opportunity_ts_utc,time_to_touch_ms,cancel_ts_utc,cancel_after_ms,entry_mid,intended_exit_price,exit_opportunity_observed,exit_opportunity_ts_utc,passive_exit_opportunity,passive_exit_ts_utc,hold_ms,forced_taker_exit,maker_taker_path,adverse_move_bps_post_fill,quote_staleness_s,btc_staleness_s
q-37-1774588312469,2026-03-27T05:11:52.469+00:00,btc-updown-5m-1774588200,sell,0.32,1.0,dry_run_observed,True,2026-03-27T05:11:53.275+00:00,7,1193,True,2026-03-27T05:11:53.275+00:00,high,True,2026-03-27T05:11:53.275+00:00,806,2026-03-27T05:11:52.469+00:00,0,0.35,0.31,False,,False,,8000,True,maker_entry_taker_exit,714.29,0.030999999988125637,0.0779999999795109
q-38-1774588312663,2026-03-27T05:11:52.663+00:00,btc-updown-5m-1774588200,buy,0.31,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:54.663+00:00,2000,0.32,,,,,,,,no_fill,,0.0159999999741558,0.2659999999741558
q-39-1774588312870,2026-03-27T05:11:52.870+00:00,btc-updown-5m-1774588200,sell,0.35,1.0,dry_run_observed,True,2026-03-27T05:11:53.667+00:00,7,1201,True,2026-03-27T05:11:53.667+00:00,high,True,2026-03-27T05:11:53.667+00:00,797,2026-03-27T05:11:52.870+00:00,0,0.355,0.33999999999999997,False,,False,,8000,True,maker_entry_taker_exit,845.07,0.0,0.46899999998277053
q-40-1774588313074,2026-03-27T05:11:53.074+00:00,btc-updown-5m-1774588200,buy,0.31,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:55.074+00:00,2000,0.315,,,,,,,,no_fill,,0.01600000000325963,0.6719999999913853
q-41-1774588313275,2026-03-27T05:11:53.275+00:00,btc-updown-5m-1774588200,sell,0.36,1.0,dry_run_observed,True,2026-03-27T05:11:54.061+00:00,7,1211,True,2026-03-27T05:11:54.061+00:00,high,True,2026-03-27T05:11:54.061+00:00,786,2026-03-27T05:11:53.275+00:00,0,0.38,0.35,False,,False,,8000,True,maker_entry_taker_exit,131.58,0.0,0.875
q-42-1774588313473,2026-03-27T05:11:53.473+00:00,btc-updown-5m-1774588200,buy,0.34,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:55.473+00:00,2000,0.35,,,,,,,,no_fill,,0.062000000005355105,1.077999999979511
q-43-1774588313667,2026-03-27T05:11:53.667+00:00,btc-updown-5m-1774588200,sell,0.36,1.0,dry_run_observed,True,2026-03-27T05:11:54.061+00:00,9,1603,True,2026-03-27T05:11:54.061+00:00,high,True,2026-03-27T05:11:54.061+00:00,394,2026-03-27T05:11:53.667+00:00,0,0.38,0.35,False,,False,,8000,True,maker_entry_taker_exit,131.58,0.0629999999946449,1.2659999999741558
q-44-1774588313873,2026-03-27T05:11:53.873+00:00,btc-updown-5m-1774588200,buy,0.35,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:55.873+00:00,2000,0.36,,,,,,,,no_fill,,0.01600000000325963,1.4849999999860302
q-45-1774588314061,2026-03-27T05:11:54.061+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:56.061+00:00,2000,0.38,,,,,,,,no_fill,,0.031000000017229468,0.1870000000053551
q-46-1774588314269,2026-03-27T05:11:54.269+00:00,btc-updown-5m-1774588200,buy,0.37,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:56.269+00:00,2000,0.385,,,,,,,,no_fill,,0.0,0.39000000001396984
q-47-1774588314468,2026-03-27T05:11:54.468+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:56.468+00:00,2000,0.385,,,,,,,,no_fill,,0.062000000005355105,0.5929999999934807
q-48-1774588314662,2026-03-27T05:11:54.662+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,True,2026-03-27T05:11:55.272+00:00,3,392,True,2026-03-27T05:11:55.272+00:00,high,True,2026-03-27T05:11:55.272+00:00,610,2026-03-27T05:11:54.662+00:00,0,0.375,0.39,True,2026-03-27T05:12:00.666+00:00,True,2026-03-27T05:12:00.666+00:00,5394,False,maker_entry_maker_exit,-266.67,0.0779999999795109,0.7809999999881256
q-49-1774588314868,2026-03-27T05:11:54.868+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:56.868+00:00,2000,0.385,,,,,,,,no_fill,,0.15599999998812564,0.10899999999674037
q-50-1774588315072,2026-03-27T05:11:55.072+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,True,2026-03-27T05:11:55.272+00:00,3,392,True,2026-03-27T05:11:55.272+00:00,high,True,2026-03-27T05:11:55.272+00:00,200,2026-03-27T05:11:55.072+00:00,0,0.375,0.39,True,2026-03-27T05:12:00.666+00:00,True,2026-03-27T05:12:00.666+00:00,5394,False,maker_entry_maker_exit,-266.67,0.0,0.3120000000053551
q-51-1774588315272,2026-03-27T05:11:55.272+00:00,btc-updown-5m-1774588200,sell,0.38,1.0,dry_run_observed,True,2026-03-27T05:11:55.871+00:00,8,1392,True,2026-03-27T05:11:55.871+00:00,high,True,2026-03-27T05:11:55.871+00:00,599,2026-03-27T05:11:55.272+00:00,0,0.385,0.37,True,2026-03-27T05:12:02.068+00:00,True,2026-03-27T05:12:02.068+00:00,6197,False,maker_entry_maker_exit,-0.0,0.0,0.5150000000139698
q-52-1774588315470,2026-03-27T05:11:55.470+00:00,btc-updown-5m-1774588200,buy,0.37,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:57.470+00:00,2000,0.375,,,,,,,,no_fill,,0.09299999999348074,0.7179999999934807
q-53-1774588315664,2026-03-27T05:11:55.664+00:00,btc-updown-5m-1774588200,sell,0.38,1.0,dry_run_observed,True,2026-03-27T05:11:55.871+00:00,9,1590,True,2026-03-27T05:11:55.871+00:00,high,True,2026-03-27T05:11:55.871+00:00,207,2026-03-27T05:11:55.664+00:00,0,0.385,0.37,True,2026-03-27T05:12:02.068+00:00,True,2026-03-27T05:12:02.068+00:00,6197,False,maker_entry_maker_exit,-0.0,0.0629999999946449,0.9059999999881256
q-54-1774588315871,2026-03-27T05:11:55.871+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:57.871+00:00,2000,0.385,,,,,,,,no_fill,,0.01600000000325963,0.030999999988125637
q-55-1774588316074,2026-03-27T05:11:56.074+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:58.074+00:00,2000,0.385,,,,,,,,no_fill,,0.10899999999674037,0.23399999999674037
q-56-1774588316275,2026-03-27T05:11:56.275+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:58.275+00:00,2000,0.385,,,,,,,,no_fill,,0.14000000001396984,0.4370000000053551
q-57-1774588316473,2026-03-27T05:11:56.473+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:58.473+00:00,2000,0.385,,,,,,,,no_fill,,0.17199999999138527,0.639999999984866
q-58-1774588316669,2026-03-27T05:11:56.669+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:58.669+00:00,2000,0.385,,,,,,,,no_fill,,0.35999999998603016,0.8279999999795109
q-59-1774588316875,2026-03-27T05:11:56.875+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:58.875+00:00,2000,0.385,,,,,,,,no_fill,,0.03200000000651926,0.03200000000651926
q-60-1774588317063,2026-03-27T05:11:57.063+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:59.063+00:00,2000,0.385,,,,,,,,no_fill,,0.14100000000325963,0.21900000001187436
q-61-1774588317263,2026-03-27T05:11:57.263+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:59.263+00:00,2000,0.385,,,,,,,,no_fill,,0.34400000001187436,0.4220000000204891
q-62-1774588317461,2026-03-27T05:11:57.461+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:59.461+00:00,2000,0.385,,,,,,,,no_fill,,0.07800000000861473,0.610000000015134
q-63-1774588317671,2026-03-27T05:11:57.671+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:59.671+00:00,2000,0.385,,,,,,,,no_fill,,0.07800000000861473,0.8280000000086147
q-64-1774588317862,2026-03-27T05:11:57.862+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:11:59.862+00:00,2000,0.385,,,,,,,,no_fill,,0.0629999999946449,1.0160000000032596
q-65-1774588318066,2026-03-27T05:11:58.066+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:00.066+00:00,2000,0.385,,,,,,,,no_fill,,0.26600000000325963,0.20300000000861473
q-66-1774588318267,2026-03-27T05:11:58.267+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:00.267+00:00,2000,0.385,,,,,,,,no_fill,,0.0470000000204891,0.40600000001722947
q-67-1774588318465,2026-03-27T05:11:58.465+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:00.465+00:00,2000,0.385,,,,,,,,no_fill,,0.07800000000861473,0.5940000000118744
q-68-1774588318674,2026-03-27T05:11:58.674+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:00.674+00:00,2000,0.385,,,,,,,,no_fill,,0.2960000000020955,0.8120000000053551
q-69-1774588318866,2026-03-27T05:11:58.866+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,True,2026-03-27T05:12:00.666+00:00,1,0,False,,low,False,,1800,2026-03-27T05:12:00.866+00:00,2000,0.385,,,,,,,,no_fill,,0.046999999991385266,0.030999999988125637
q-70-1774588319070,2026-03-27T05:11:59.070+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:01.070+00:00,2000,0.385,,,,,,,,no_fill,,0.125,0.23399999999674037
q-71-1774588319270,2026-03-27T05:11:59.270+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,True,2026-03-27T05:12:00.666+00:00,2,206,False,,low,False,,1396,2026-03-27T05:12:01.270+00:00,2000,0.385,,,,,,,,no_fill,,0.031000000017229468,0.4370000000053551
q-72-1774588319468,2026-03-27T05:11:59.468+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:01.468+00:00,2000,0.385,,,,,,,,no_fill,,0.1870000000053551,0.639999999984866
q-73-1774588319663,2026-03-27T05:11:59.663+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,True,2026-03-27T05:12:00.666+00:00,2,206,False,,low,False,,1002,2026-03-27T05:12:01.663+00:00,2000,0.385,,,,,,,,no_fill,,0.17199999999138527,0.8279999999795109
q-74-1774588319869,2026-03-27T05:11:59.869+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,False,,0,0,False,,none,False,,,2026-03-27T05:12:01.869+00:00,2000,0.385,,,,,,,,no_fill,,0.07800000000861473,0.01600000000325963
q-75-1774588320073,2026-03-27T05:12:00.073+00:00,btc-updown-5m-1774588200,sell,0.39,1.0,dry_run_observed,True,2026-03-27T05:12:00.666+00:00,2,206,False,,low,False,,593,2026-03-27T05:12:02.073+00:00,2000,0.385,,,,,,,,no_fill,,0.14100000000325963,0.21900000001187436
q-76-1774588320273,2026-03-27T05:12:00.273+00:00,btc-updown-5m-1774588200,buy,0.38,1.0,dry_run_observed,True,2026-03-27T05:12:02.068+00:00,2,200,False,,low,False,,1795,2026-03-27T05:12:02.273+00:00,2000,0.385,,,,,,,,no_fill,,0.0,0.4220000000204891
